OrderID,OrderDate,Region,Category,Product,Quantity,UnitPrice,DiscountPct,Revenue
ORD100000,2023-01-01,East,Home & Kitchen,Vacuum Cleaner,4,8653.33,0,34613.32
ORD100001,2023-01-01,South,Electronics,Smartphone,3,26596.02,0,79788.06
ORD100002,2023-01-01,North,Groceries,Cereal Box,5,397.04,5,1885.94
ORD100003,2023-01-01,East,Home & Kitchen,Air Fryer,6,8424.59,0,50547.54
ORD100004,2023-01-01,East,Groceries,Cereal Box,4,463.02,0,1852.08
ORD100005,2023-01-01,South,Home & Kitchen,Air Fryer,6,1057.97,0,6347.82
ORD100006,2023-01-01,East,Groceries,Snack Pack,3,174.8,5,498.18
ORD100007,2023-01-01,South,Toys,Action Figure,1,291.65,0,291.65
ORD100008,2023-01-01,Central,Electronics,Smartphone,2,8459.66,15,14381.42
ORD100009,2023-01-01,West,Apparel,Jeans,5,485.8,15,2064.65
ORD100010,2023-01-01,North,Furniture,Office Chair,1,22199.08,0,22199.08
ORD100011,2023-01-01,South,Apparel,T-Shirt,6,2008.39,20,9640.27
ORD100012,2023-01-01,Central,Toys,Puzzle,1,1060.6,0,1060.6
ORD100013,2023-01-01,East,Electronics,Tablet,3,35899.56,0,107698.68
ORD100014,2023-01-01,Central,Apparel,Jacket,3,3496.31,15,8915.59
ORD100015,2023-01-01,North,Electronics,Headphones,7,9505.43,0,66538.01
ORD100016,2023-01-01,South,Electronics,Laptop,3,14039.75,5,40013.29
ORD100017,2023-01-01,Central,Electronics,Smartwatch,2,56958.45,0,113916.9
ORD100018,2023-01-01,North,Apparel,Jacket,5,2457.84,0,12289.2
ORD100019,2023-01-01,North,Toys,Board Game,1,612.36,0,612.36
ORD100020,2023-01-01,Central,Apparel,Sneakers,3,2163.89,0,6491.67
ORD100021,2023-01-01,North,Apparel,Jeans,5,1792.02,10,8064.09
ORD100022,2023-01-01,East,Electronics,Smartwatch,3,12780.99,0,38342.97
ORD100023,2023-01-01,North,Beauty,Perfume,3,758.28,0,2274.84
ORD100024,2023-01-01,West,Apparel,Sneakers,5,2534.24,0,12671.2
ORD100025,2023-01-01,East,Home & Kitchen,Mixer,6,2086.65,5,11893.9
ORD100026,2023-01-01,East,Electronics,Smartphone,8,28424.65,5,216027.34
ORD100027,2023-01-01,South,Home & Kitchen,Cookware Set,3,9059.36,0,27178.08
ORD100028,2023-01-01,West,Apparel,Jeans,2,1806.68,0,3613.36
ORD100029,2023-01-01,West,Home & Kitchen,Vacuum Cleaner,4,9523.64,15,32380.38
ORD100030,2023-01-01,South,Beauty,Skincare Kit,3,1733.3,0,5199.9
ORD100031,2023-01-01,North,Groceries,Snack Pack,6,861.37,0,5168.22
ORD100032,2023-01-01,South,Toys,Action Figure,1,937.44,15,796.82
ORD100033,2023-01-01,Central,Home & Kitchen,Vacuum Cleaner,4,3272.17,0,13088.68
